"replicate","VUS"
1,0.783794758213363
2,0.637529223575735
3,0.662643041712809
4,0.690033222591362
5,0.637037037037037
6,0.676239694844346
7,0.637356958287191
8,0.599544727451704
9,0.615393133997785
10,0.6281284606866
11,0.740051679586563
12,0.714125753660637
13,0.653439153439153
14,0.636335671219392
15,0.593023255813953
16,0.566162175464501
17,0.656269226036668
18,0.673065091669743
19,0.668512366186785
20,0.674418604651163
21,0.759579180509413
22,0.590377753168451
23,0.71333825519872
24,0.618740002460933
25,0.806078503752922
26,0.697748246585456
27,0.540568475452196
28,0.75166728189984
29,0.603543743078627
30,0.558951642672573
31,0.659173126614987
32,0.569422911283376
33,0.649760059062385
34,0.653549895410361
35,0.630675526024363
36,0.710225175341454
37,0.7442721791559
38,0.64973544973545
39,0.646031746031746
40,0.575858250276855
41,0.693540051679587
42,0.641257536606374
43,0.71889996308601
44,0.708687092408023
45,0.749427833148763
46,0.604995693367786
47,0.701033591731266
48,0.593466223698782
49,0.71213239817891
50,0.681444567491079
51,0.563971945367294
52,0.630823181985973
53,0.665017841762028
54,0.571268610803495
55,0.652467085025225
56,0.65359911406423
57,0.67249907715024
58,0.69139904023625
59,0.662815307001353
60,0.63093392395718
61,0.557930355604774
62,0.641269841269841
63,0.706607604282023
64,0.723268118616956
65,0.679389688692014
66,0.609819121447028
67,0.712009351544235
68,0.561240310077519
69,0.688901193552356
70,0.590070136581764
71,0.575353759074689
72,0.656724498584964
73,0.730084902177925
74,0.645613387473853
75,0.609031622985111
76,0.571071736188015
77,0.584360772732866
78,0.636815553094623
79,0.582465854558878
80,0.679635781961363
81,0.531586071120955
82,0.506927525532177
83,0.678909806816783
84,0.646093269349083
85,0.779180509413068
86,0.56036667897133
87,0.514138058324105
88,0.68984865263935
89,0.687855297157623
90,0.550252245601083
91,0.74978466838932
92,0.703740617694106
93,0.697822074566261
94,0.607702719330626
95,0.71672203765227
96,0.734034699150978
97,0.632779623477298
98,0.709191583610188
99,0.661794019933555
100,0.637283130306386
101,0.697502153316107
102,0.602153316106804
103,0.598917189614864
104,0.634145441122185
105,0.724252491694352
106,0.657585825027685
107,0.700529100529101
108,0.708687092408023
109,0.500159960625077
110,0.667835609696075
111,0.587793773840285
112,0.659972929740372
113,0.602879291251384
114,0.594069152208687
115,0.687043189368771
116,0.647139165743817
117,0.662839916328288
118,0.559406915220869
119,0.566777408637874
120,0.691066814322628
121,0.631782945736434
122,0.6437430786268
123,0.702620893318568
124,0.693786144948936
125,0.556072351421189
126,0.665042451088963
127,0.664574873877199
128,0.626430417128092
129,0.610705057216685
130,0.605278700627538
131,0.614051925679833
132,0.625175341454411
133,0.648258890119355
134,0.667404946474714
135,0.637873754152824
136,0.527820844099914
137,0.586575612157007
138,0.651531930601698
139,0.675476805709364
140,0.551052048726467
141,0.689774824658546
142,0.65234403839055
143,0.582428940568475
144,0.643890734588409
145,0.590771502399409
146,0.638525901316599
147,0.53552356343054
148,0.651433493293958
149,0.653525286083426
150,0.658779377384028
151,0.654928017718715
152,0.658890119355236
153,0.640876092038883
154,0.685517411098806
155,0.692248062015504
156,0.612550756736803
157,0.656133874738526
158,0.619158361018826
159,0.659677617817153
160,0.667946351667282
161,0.622997416020672
162,0.599126368893811
163,0.60270702596284
164,0.626541159099299
165,0.715073212747631
166,0.687744555186416
167,0.642561830933924
168,0.675009228497601
169,0.671834625322997
170,0.508920881013904
171,0.728189984003937
172,0.591522086870924
173,0.654964931709118
174,0.599692383413314
175,0.662433862433862
176,0.635437430786268
177,0.625224560108281
178,0.6578073089701
179,0.638587424633936
180,0.63953488372093
181,0.609068536975514
182,0.673458840900701
183,0.655703211517165
184,0.69120216562077
185,0.614457979574259
186,0.658767072720561
187,0.526012058570198
188,0.697994339854805
189,0.605020302694721
190,0.51937984496124
191,0.622259136212625
192,0.66322136089578
193,0.713805832410484
194,0.722554448135843
195,0.667749477051803
196,0.741835855789344
197,0.731352282515073
198,0.601476559616094
199,0.680275624461671
200,0.688187523071244
201,0.598855666297527
202,0.632115171650055
203,0.7119847422173
204,0.630540174726221
205,0.670911775562938
206,0.589516426725729
207,0.677359419219884
208,0.723194290636151
209,0.720524178663714
210,0.636618678479144
211,0.661351052048726
212,0.681727574750831
213,0.588175218407777
214,0.634932939584102
215,0.605094130675526
216,0.610446659283869
217,0.672265288544358
218,0.637480004921865
219,0.728608342561831
220,0.676215085517411
221,0.66703580657069
222,0.630318690783807
223,0.609265411590993
224,0.693724621631598
225,0.649612403100775
226,0.759222345268857
227,0.667847914359542
228,0.642377260981912
229,0.67056724498585
230,0.721705426356589
231,0.657069029162052
232,0.751790328534515
233,0.729125138427464
234,0.623255813953488
235,0.643779992617202
236,0.719712070874862
237,0.717792543373939
238,0.740876092038883
239,0.629051310446659
240,0.572991263688938
241,0.726947212993725
242,0.5911529469669
243,0.698634182355113
244,0.75983757844223
245,0.604675772117633
246,0.664390303925188
247,0.528239202657807
248,0.630367909437677
249,0.638021410114433
250,0.729420450350683
251,0.741380583241048
252,0.690340839178048
253,0.696234772978959
254,0.659345391903531
255,0.664008859357697
256,0.623514211886305
257,0.692284976005906
258,0.697699027931586
259,0.618050941306755
260,0.696788482834994
261,0.693047865140888
262,0.741995816414421
263,0.680226405807801
264,0.632607358188753
265,0.635142118863049
266,0.741638981173865
267,0.716032976498093
268,0.666629752676264
269,0.553402239448751
270,0.660354374307863
271,0.704245108896272
272,0.546523932570444
273,0.664501045896395
274,0.634711455641688
275,0.67249907715024
276,0.643976867232681
277,0.679955703211517
278,0.633321028669866
279,0.607567368032484
280,0.619515196259382
281,0.564771748492679
282,0.688064476436569
283,0.651999507813461
284,0.69801894918174
285,0.602399409376154
286,0.547877445551864
287,0.629235880398671
288,0.633727082564292
289,0.654595791805094
290,0.692912513842746
291,0.655014150362988
292,0.611148025101513
293,0.722283745539559
294,0.66993970714901
295,0.642303433001107
296,0.632484311554079
297,0.608342561830934
298,0.628497600590624
299,0.695115048603421
300,0.669878183831672
301,0.674123292727944
302,0.709843730773963
303,0.710741971207087
304,0.663861203396087
305,0.756232312046266
306,0.648677248677249
307,0.770579549649317
308,0.551864156515319
309,0.662704565030146
310,0.679955703211517
311,0.587559985234404
312,0.721742340346991
313,0.63141380583241
314,0.69250645994832
315,0.787153931339978
316,0.680275624461671
317,0.586144948935647
318,0.56635905007998
319,0.734736064968623
320,0.592395717977113
321,0.709609942168082
322,0.736286452565522
323,0.599667774086379
324,0.66176941060662
325,0.609573028177679
326,0.529937246216316
327,0.736372585209795
328,0.588359788359788
329,0.603371477790082
330,0.617940199335548
331,0.674024855420204
332,0.607591977359419
333,0.637676879537345
334,0.607825765965301
335,0.66437799926172
336,0.556662975267626
337,0.687744555186416
338,0.611775562938354
339,0.742414174972315
340,0.697563676633444
341,0.622382182847299
342,0.601439645625692
343,0.672535991140642
344,0.627365571551618
345,0.65901316598991
346,0.637726098191214
347,0.721631598375784
348,0.638513596653132
349,0.714470284237726
350,0.575636766334441
351,0.619465977605512
352,0.681579918789221
353,0.711701734957549
354,0.674800049218654
355,0.66515319306017
356,0.631967515688446
357,0.730614002707026
358,0.689405684754522
359,0.70391288298265
360,0.676055124892334
361,0.690697674418605
362,0.585898855666298
363,0.618986095730282
364,0.696603912882983
365,0.688470530330995
366,0.640137812230835
367,0.562864525655223
368,0.66901685738895
369,0.674960009843731
370,0.731930601698044
371,0.591595914851729
372,0.707751937984496
373,0.607013658176449
374,0.685345145810262
375,0.732176694967393
376,0.684200812107789
377,0.558520979451212
378,0.665140888396702
379,0.646696197858989
380,0.693010951150486
381,0.651015134736065
382,0.664796357819614
383,0.589959394610557
384,0.710557401255076
385,0.624633936261843
386,0.630872400639843
387,0.609462286206472
388,0.669053771379353
389,0.592444936630983
390,0.636913990402363
391,0.845994832041344
392,0.634108527131783
393,0.638870431893688
394,0.650744432139781
395,0.686009597637505
396,0.617103482219761
397,0.663282884213117
398,0.669472129937246
399,0.726836471022517
400,0.601833394856651
401,0.587707641196013
402,0.705697059185431
403,0.664550264550265
404,0.549907715023994
405,0.656490709979082
406,0.550633690168574
407,0.63499446290144
408,0.654017472622124
409,0.680435585086748
410,0.665214716377507
411,0.622665190107051
412,0.61000369139904
413,0.711824781592223
414,0.62469545957918
415,0.700504491202166
416,0.661683277962348
417,0.562667651039744
418,0.678897502153316
419,0.627390180878553
420,0.586341823551126
421,0.726282761166482
422,0.776990279315861
423,0.623994093761536
424,0.794819736680202
425,0.592937123169681
426,0.70072597514458
427,0.681838316722038
428,0.727464008859358
429,0.775267626430417
430,0.583548664944014
431,0.742303433001107
432,0.645108896271687
433,0.628879045158115
434,0.687276977974652
435,0.724621631598376
436,0.693540051679587
437,0.645182724252492
438,0.572732865756122
439,0.567294204503507
440,0.613325950535253
441,0.652417866371355
442,0.691583610188261
443,0.657352036421804
444,0.708477913129076
445,0.619748984865264
446,0.680004921865387
447,0.606103113079857
448,0.695373446536237
449,0.673052787006275
450,0.671219392149625
451,0.626910299003322
452,0.74296788482835
453,0.639854804971084
454,0.726799557032115
455,0.685566629752676
456,0.683794758213363
457,0.61343669250646
458,0.662889134982158
459,0.751790328534515
460,0.648701858004184
461,0.581026208933186
462,0.587953734465362
463,0.701070505721669
464,0.710889627168697
465,0.66582994955088
466,0.697711332595053
467,0.650867478774455
468,0.651421188630491
469,0.628313030638612
470,0.670702596283992
471,0.680251015134736
472,0.591891226774948
473,0.619638242894057
474,0.662704565030146
475,0.661203396087117
476,0.643127845453427
477,0.716623600344531
478,0.680669373692629
479,0.7067675649071
480,0.685861941675895
481,0.713732004429679
482,0.6953119232189
483,0.746597760551249
484,0.62750092284976
485,0.647397563676633
486,0.725864402608589
487,0.623231204626553
488,0.724806201550388
489,0.671010212870678
490,0.538796603912883
491,0.48255198720315
492,0.598917189614864
493,0.633321028669866
494,0.590217792543374
495,0.615749969238341
496,0.583585578934416
497,0.664168819982773
498,0.596456256921373
499,0.544432139780977
500,0.750239940937615
501,0.592371108650178
502,0.694241417497231
503,0.576596530084902
504,0.646339362618432
505,0.628140765350068
506,0.619084533038021
507,0.66630983142611
508,0.647951273532669
509,0.624867724867725
510,0.76375046142488
511,0.629518887658423
512,0.622985111357204
513,0.74021164021164
514,0.719293712316968
515,0.657733480989295
516,0.718616955826258
517,0.666285222099176
518,0.68468069398302
519,0.613276731881383
520,0.681715270087363
521,0.617890980681678
522,0.673458840900701
523,0.531782945736434
524,0.621213239817891
525,0.625593700012305
526,0.730454042081949
527,0.650609080841639
528,0.681530700135351
529,0.700221483942414
530,0.687276977974652
531,0.714088839670235
532,0.679414298018949
533,0.656638365940691
534,0.681616832779623
535,0.653820598006644
536,0.656761412575366
537,0.65500184569952
538,0.64349698535745
539,0.645182724252492
540,0.628460686600221
541,0.627894672080719
542,0.605401747262212
543,0.740900701365818
544,0.679906484557647
545,0.636138796603913
546,0.508157991878922
547,0.672880521717731
548,0.689713301341208
549,0.62469545957918
550,0.629518887658423
551,0.631942906361511
552,0.55359911406423
553,0.731266149870801
554,0.540543866125262
555,0.67999261720192
556,0.594266026824166
557,0.669398301956441
558,0.637873754152824
559,0.673532668881506
560,0.79139904023625
561,0.638353636028055
562,0.657770394979697
563,0.715737664574874
564,0.640654608096469
565,0.661129568106312
566,0.636360280546327
567,0.603137689184201
568,0.70797342192691
569,0.656466100652147
570,0.641109880644764
571,0.753660637381568
572,0.587301587301587
573,0.649612403100775
574,0.659099298634182
575,0.678306878306878
576,0.675526024363234
577,0.669398301956441
578,0.604700381444568
579,0.628879045158115
580,0.768253968253968
581,0.625138427464009
582,0.804392764857881
583,0.689430294081457
584,0.690882244370616
585,0.576744186046512
586,0.568795373446536
587,0.649723145071982
588,0.636963209056232
589,0.688347483696321
590,0.651064353389935
591,0.673791066814323
592,0.62542143472376
593,0.722406792174234
594,0.673938722775932
595,0.612919896640827
596,0.749513965793036
597,0.609043927648579
598,0.619404454288175
599,0.66234772978959
600,0.699827734711456
601,0.643472376030516
602,0.667884828349945
603,0.593404700381445
604,0.692764857881137
605,0.787670727205611
606,0.683720930232558
607,0.666961978589886
608,0.737763012181617
609,0.674664697920512
610,0.680484803740618
611,0.602005660145195
612,0.669398301956441
613,0.602842377260982
614,0.54562569213732
615,0.667774086378737
616,0.802731635289775
617,0.661880152577827
618,0.716205241786637
619,0.695373446536237
620,0.705610926541159
621,0.480447889750215
622,0.714457979574259
623,0.48859357696567
624,0.605094130675526
625,0.619712070874862
626,0.619785898855666
627,0.621963824289406
628,0.708157991878922
629,0.636126491940445
630,0.644136827857758
631,0.681173864894795
632,0.694142980189492
633,0.606952134859112
634,0.583093392395718
635,0.632841146794635
636,0.603629875722899
637,0.665263935031377
638,0.634883720930233
639,0.629900332225914
640,0.602977728559124
641,0.717128091546696
642,0.654165128583733
643,0.637763012181617
644,0.613805832410484
645,0.628103851359665
646,0.687498461917067
647,0.653709856035437
648,0.666814322628276
649,0.532828842131168
650,0.702670111972438
651,0.683917804848037
652,0.60396210163652
653,0.591768180140273
654,0.68931955211025
655,0.645010458963947
656,0.637135474344777
657,0.708157991878922
658,0.647692875599852
659,0.632484311554079
660,0.719995078134613
661,0.798634182355113
662,0.613990402362495
663,0.693207825765965
664,0.705881629137443
665,0.68936877076412
666,0.660280546327058
667,0.69390919158361
668,0.559222345268857
669,0.677260981912145
670,0.562692260366679
671,0.62822689799434
672,0.651962593823059
673,0.487535375907469
674,0.596296296296296
675,0.700332225913621
676,0.584360772732866
677,0.683314876338132
678,0.539793281653747
679,0.609696074812354
680,0.637849144825889
681,0.601833394856651
682,0.668807678110004
683,0.58656330749354
684,0.688285960378984
685,0.732841146794635
686,0.741577457856528
687,0.741429801894918
688,0.702879291251384
689,0.56505475575243
690,0.584237726098191
691,0.6275993601575
692,0.75031376891842
693,0.533185677371724
694,0.745059677617817
695,0.673237356958287
696,0.668253968253968
697,0.687658422542143
698,0.599212501538083
699,0.683474836963209
700,0.699150978220746
701,0.627008736311062
702,0.578602190230097
703,0.738575119970469
704,0.656798326565768
705,0.720807185923465
706,0.676842623354251
707,0.611726344284484
708,0.702141011443337
709,0.642684877568598
710,0.620917927894672
711,0.748074320167343
712,0.711246462409253
713,0.577150239940938
714,0.628054632705795
715,0.651470407284361
716,0.697268364710225
717,0.69656699889258
718,0.763012181616833
719,0.628362249292482
720,0.602522456010828
721,0.702842377260982
722,0.655826258151839
723,0.758951642672573
724,0.696788482834994
725,0.714150362987572
726,0.655014150362988
727,0.742524916943522
728,0.63088470530331
729,0.694216808170297
730,0.651827242524917
731,0.667835609696075
732,0.687092408022641
733,0.703026947212994
734,0.627365571551618
735,0.585849637012428
736,0.615725359911406
737,0.634182355112588
738,0.688815060908084
739,0.738821213239818
740,0.711664820967147
741,0.730503260735819
742,0.687178540666913
743,0.643238587424634
744,0.743435462040113
745,0.564451827242525
746,0.661031130798573
747,0.606558385628153
748,0.733161068044789
749,0.648984865263935
750,0.583007259751446
751,0.718050941306755
752,0.691989664082687
753,0.744346007136705
754,0.650535252860834
755,0.711123415774579
756,0.703063861203396
757,0.726319675156884
758,0.629235880398671
759,0.636360280546327
760,0.715454657315122
761,0.621705426356589
762,0.663738156761413
763,0.615565399286329
764,0.748689553340716
765,0.679377384028547
766,0.644075304540421
767,0.672572905131045
768,0.720413436692506
769,0.663356712193921
770,0.655444813584348
771,0.655875476805709
772,0.666162175464501
773,0.658644026085887
774,0.68052171773102
775,0.666961978589886
776,0.72296050203027
777,0.812476928755999
778,0.611172634428448
779,0.697834379229728
780,0.6213608957795
781,0.719908945490341
782,0.732705795496493
783,0.73223821828473
784,0.676473483450228
785,0.800959763750461
786,0.681395348837209
787,0.664501045896395
788,0.825876707272056
789,0.718641565153193
790,0.61942906361511
791,0.617226528854436
792,0.70609080841639
793,0.745305770887166
794,0.675747508305648
795,0.639424141749723
796,0.691915836101883
797,0.718358557893442
798,0.578110003691399
799,0.705020302694721
800,0.637516918912268
801,0.74770518026332
802,0.679660391288298
803,0.661929371231697
804,0.796345514950166
805,0.639128829826504
806,0.71672203765227
807,0.717324966162175
808,0.745613387473853
809,0.642857142857143
810,0.672314507198228
811,0.579512735326689
812,0.613584348468069
813,0.69463516672819
814,0.708933185677372
815,0.635794266026824
816,0.556798326565768
817,0.615097822074566
818,0.613855051064353
819,0.510594315245478
820,0.688335179032853
821,0.598006644518272
822,0.680878552971576
823,0.677297895902547
824,0.610840408514827
825,0.653365325458349
826,0.672905131044666
827,0.669952011812477
828,0.744739756367663
829,0.735843484680694
830,0.610840408514827
831,0.712882982650424
832,0.614913252122554
833,0.761080349452443
834,0.703851359665313
835,0.670911775562938
836,0.681456872154547
837,0.751495016611296
838,0.574800049218654
839,0.612575366063738
840,0.721976128952873
841,0.628989787129322
842,0.700221483942414
843,0.714494893564661
844,0.663282884213117
845,0.638390550018457
846,0.70255937000123
847,0.679931093884582
848,0.661412575366064
849,0.638648947951273
850,0.713473606496862
851,0.682859603789836
852,0.612932201304294
853,0.648086624830811
854,0.607407407407407
855,0.811492555678602
856,0.660059062384644
857,0.717657192075797
858,0.708010335917313
859,0.618678479143595
