"sd2","method","c1","c2","tcf1","tcf2","tcf3","VUS","AUC13"
1,"Youden",-1,1,0.841344746068543,0.682689492137086,0.841344746068543,0.843012103189039,0.997661132509476
1,"Distance",-1.14,1.14,0.805105478748192,0.745713698874404,0.805105478748191,0.843012103189039,0.997661132509476
2,"Youden",-0.76,0.76,0.892512302925413,0.296054584848326,0.892512302925413,0.62908910968962,0.997661132509476
2,"Distance",-1.33,1.33,0.74857110490469,0.493949506924924,0.74857110490469,0.62908910968962,0.997661132509476
