"method","c1","c2","tcf1","tcf2","tcf3","BA","accuracy","J3","distance","n_optima"
"Youden",-0.69029209625,0.6112542955,0.933333333333333,0.348837209302326,0.80952380952381,0.697231450719823,0.678899082568807,0.545847176079734,0.681717392745667,2
"Distance",-1.63101374575,0.858247423,0.755555555555556,0.558139534883721,0.761904761904762,0.691866617448013,0.678899082568807,0.537799926172019,0.558285858191084,1
